#         x                 p                rho                u        
-1.0000000000e+00  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.9599198397e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.9198396794e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.8797595190e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.8396793587e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.7995991984e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.7595190381e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.7194388778e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.6793587174e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.6392785571e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.5991983968e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.5591182365e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.5190380762e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.4789579158e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.4388777555e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.3987975952e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.3587174349e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.3186372745e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.2785571142e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.2384769539e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.1983967936e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.1583166333e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.1182364729e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.0781563126e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-9.0380761523e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.9979959920e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.9579158317e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.9178356713e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.8777555110e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.8376753507e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.7975951904e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.7575150301e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.7174348697e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.6773547094e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.6372745491e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.5971943888e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.5571142285e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.5170340681e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.4769539078e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.4368737475e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.3967935872e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.3567134269e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.3166332665e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.2765531062e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.2364729459e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.1963927856e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.1563126253e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.1162324649e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.0761523046e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-8.0360721443e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.9959919840e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.9559118236e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
